Method,Num Cities,Route,Total distance,Execution Time (ms),Category,Epsilon,Waiting Time
Complete,41,"0 Time(0,0) -> 33 Time(7,7) -> 15 Time(10,10) -> 9 Time(13,13) -> 29 Time(16,16) -> 23 Time(22,22) -> 34 Time(32,32) -> 1 Time(40,40) -> 39 Time(47,47) -> 24 Time(58,58) -> 3 Time(78,78) -> 20 Time(87,87) -> 16 Time(96,96) -> 2 Time(109,109) -> 10 Time(125,125) -> 31 Time(135,135) -> 14 Time(141,141) -> 19 Time(151,151) -> 4 Time(158,158) -> 32 Time(173,173) -> 22 Time(177,177) -> 21 Time(199,199) -> 13 Time(229,229) -> 18 Time(240,240) -> 5 Time(252,252) -> 40 Time(273,273) -> 30 Time(291,291) -> 8 Time(293,293) -> 28 Time(299,299) -> 26 Time(308,308) -> 38 Time(323,323) -> 11 Time(343,343) -> 17 Time(355,355) -> 6 Time(376,376) -> 36 Time(387,387) -> 27 Time(428,428) -> 12 Time(446,446) -> 25 Time(450,450) -> 35 Time(464,464) -> 7 Time(473,473) -> 37 Time(475,475) -> 0 Time(484,484)",484,37.676095962524414,n41_instance1.txt,,0
Complete,61,"0 Time(0,0) -> 48 Time(4,4) -> 51 Time(7,7) -> 54 Time(20,20) -> 14 Time(23,23) -> 60 Time(26,26) -> 31 Time(28,28) -> 47 Time(31,31) -> 53 Time(34,34) -> 52 Time(40,40) -> 50 Time(52,52) -> 23 Time(69,69) -> 28 Time(75,75) -> 39 Time(78,78) -> 45 Time(88,88) -> 35 Time(91,91) -> 8 Time(95,95) -> 36 Time(98,98) -> 40 Time(108,108) -> 49 Time(112,112) -> 19 Time(121,121) -> 37 Time(124,124) -> 20 Time(131,131) -> 9 Time(146,146) -> 15 Time(149,149) -> 13 Time(155,155) -> 32 Time(162,162) -> 22 Time(165,165) -> 38 Time(183,183) -> 3 Time(187,187) -> 1 Time(187,187) -> 21 Time(199,199) -> 55 Time(204,204) -> 18 Time(215,215) -> 30 Time(226,226) -> 12 Time(245,245) -> 56 Time(250,250) -> 17 Time(250,250) -> 4 Time(268,268) -> 59 Time(283,283) -> 7 Time(288,288) -> 25 Time(294,294) -> 42 Time(304,304) -> 46 Time(328,328) -> 16 Time(330,330) -> 27 Time(338,338) -> 29 Time(349,349) -> 10 Time(355,355) -> 57 Time(367,367) -> 33 Time(378,378) -> 5 Time(395,395) -> 44 Time(405,405) -> 43 Time(423,423) -> 6 Time(435,435) -> 2 Time(453,453) -> 11 Time(458,458) -> 41 Time(467,467) -> 24 Time(483,483) -> 26 Time(489,489) -> 34 Time(501,501) -> 58 Time(515,515) -> 0 Time(528,528)",528,51.12051963806152,n61_instance1.txt,,0
Complete,61,"0 Time(0,0) -> 48 Time(29,34) -> 51 Time(62,67) -> 15 Time(95,100) -> 9 Time(110,133) -> 38 Time(146,169) -> 3 Time(180,203) -> 1 Time(210,233) -> 36 Time(256,279) -> 8 Time(289,312) -> 45 Time(323,346) -> 57 Time(355,378) -> 35 Time(387,410) -> 26 Time(420,443) -> 24 Time(450,479) -> 40 Time(453,512) -> 20 Time(457,546) -> 49 Time(460,579) -> 37 Time(467,616) -> 19 Time(470,649) -> 17 Time(474,683) -> 34 Time(474,713) -> 56 Time(474,734) -> 12 Time(479,739) -> 33 Time(479,739) -> 6 Time(481,741) -> 54 Time(483,743) -> 14 Time(486,746) -> 60 Time(489,749) -> 31 Time(491,751) -> 43 Time(496,756) -> 21 Time(499,759) -> 2 Time(502,762) -> 28 Time(503,763) -> 41 Time(506,766) -> 10 Time(512,772) -> 29 Time(518,778) -> 11 Time(521,781) -> 39 Time(523,783) -> 23 Time(529,789) -> 55 Time(530,790) -> 27 Time(534,794) -> 16 Time(542,802) -> 46 Time(544,804) -> 18 Time(547,807) -> 47 Time(549,809) -> 53 Time(552,812) -> 50 Time(561,821) -> 44 Time(566,826) -> 30 Time(569,829) -> 52 Time(574,834) -> 5 Time(579,839) -> 4 Time(582,842) -> 25 Time(588,848) -> 7 Time(594,854) -> 32 Time(599,859) -> 59 Time(600,860) -> 58 Time(600,860) -> 22 Time(602,877) -> 42 Time(611,886) -> 13 Time(615,890) -> 0 Time(621,926)",230,53.076982498168945,n61_instance1.txt,,30
Complete,81,"0 Time(0,0) -> 53 Time(6,6) -> 51 Time(12,12) -> 54 Time(14,14) -> 60 Time(14,14) -> 50 Time(18,18) -> 39 Time(19,19) -> 22 Time(34,34) -> 47 Time(41,41) -> 79 Time(47,47) -> 52 Time(49,49) -> 1 Time(52,52) -> 63 Time(58,58) -> 72 Time(64,64) -> 49 Time(67,67) -> 36 Time(70,70) -> 8 Time(80,80) -> 48 Time(83,83) -> 68 Time(86,86) -> 2 Time(95,95) -> 67 Time(98,98) -> 40 Time(105,105) -> 35 Time(109,109) -> 80 Time(114,114) -> 23 Time(119,119) -> 77 Time(122,122) -> 28 Time(128,128) -> 21 Time(139,139) -> 15 Time(141,141) -> 32 Time(147,147) -> 20 Time(154,154) -> 64 Time(163,163) -> 55 Time(175,175) -> 62 Time(193,193) -> 38 Time(208,208) -> 19 Time(218,218) -> 18 Time(219,219) -> 37 Time(226,226) -> 70 Time(233,233) -> 45 Time(236,236) -> 30 Time(240,240) -> 14 Time(241,241) -> 3 Time(243,243) -> 69 Time(245,245) -> 9 Time(250,250) -> 13 Time(253,253) -> 71 Time(259,259) -> 66 Time(271,271) -> 78 Time(280,280) -> 25 Time(283,283) -> 29 Time(286,286) -> 12 Time(287,287) -> 42 Time(293,293) -> 59 Time(302,302) -> 44 Time(305,305) -> 74 Time(314,314) -> 16 Time(320,320) -> 76 Time(323,323) -> 46 Time(327,327) -> 56 Time(336,336) -> 7 Time(339,339) -> 4 Time(349,349) -> 33 Time(357,357) -> 65 Time(368,368) -> 34 Time(374,374) -> 5 Time(383,383) -> 17 Time(390,390) -> 27 Time(399,399) -> 61 Time(400,400) -> 31 Time(418,418) -> 43 Time(432,432) -> 73 Time(450,450) -> 10 Time(459,459) -> 75 Time(462,462) -> 26 Time(468,468) -> 41 Time(482,482) -> 58 Time(490,490) -> 57 Time(497,497) -> 11 Time(499,499) -> 24 Time(517,517) -> 6 Time(521,521) -> 0 Time(530,530)",530,120.38540840148926,n81_instance1.txt,,0
Complete,81,"0 Time(0,0) -> 1 Time(50,65) -> 32 Time(111,126) -> 52 Time(174,189) -> 15 Time(237,252) -> 44 Time(297,312) -> 21 Time(358,373) -> 26 Time(420,435) -> 62 Time(423,498) -> 75 Time(426,561) -> 74 Time(426,604) -> 80 Time(432,610) -> 23 Time(437,615) -> 77 Time(440,618) -> 28 Time(446,624) -> 10 Time(450,628) -> 16 Time(451,629) -> 76 Time(454,632) -> 46 Time(458,636) -> 22 Time(458,636) -> 31 Time(462,640) -> 47 Time(465,643) -> 73 Time(468,646) -> 59 Time(472,650) -> 79 Time(473,651) -> 35 Time(480,658) -> 40 Time(484,662) -> 67 Time(491,669) -> 55 Time(494,672) -> 2 Time(494,672) -> 41 Time(494,672) -> 42 Time(498,676) -> 25 Time(504,682) -> 12 Time(507,685) -> 58 Time(512,690) -> 29 Time(516,694) -> 48 Time(517,695) -> 57 Time(518,696) -> 8 Time(520,698) -> 11 Time(521,699) -> 68 Time(523,701) -> 78 Time(523,701) -> 64 Time(526,704) -> 71 Time(541,719) -> 3 Time(544,722) -> 69 Time(546,724) -> 45 Time(551,729) -> 70 Time(554,732) -> 30 Time(557,735) -> 14 Time(558,736) -> 9 Time(561,739) -> 33 Time(564,742) -> 24 Time(567,745) -> 13 Time(570,748) -> 72 Time(571,749) -> 49 Time(574,752) -> 36 Time(577,755) -> 66 Time(578,756) -> 20 Time(581,759) -> 65 Time(584,762) -> 63 Time(587,765) -> 34 Time(590,768) -> 6 Time(593,771) -> 37 Time(595,773) -> 4 Time(597,775) -> 18 Time(602,780) -> 19 Time(603,781) -> 50 Time(608,786) -> 39 Time(609,787) -> 27 Time(610,788) -> 61 Time(611,789) -> 43 Time(620,798) -> 51 Time(628,806) -> 60 Time(629,807) -> 54 Time(629,807) -> 17 Time(632,810) -> 53 Time(634,872) -> 56 Time(637,912) -> 38 Time(640,915) -> 5 Time(644,919) -> 7 Time(645,920) -> 0 Time(646,981)",241,126.85108184814453,n81_instance1.txt,,60
Complete,81,"0 Time(0,0) -> 1 Time(50,125) -> 32 Time(147,246) -> 42 Time(275,374) -> 35 Time(284,503) -> 40 Time(288,627) -> 67 Time(295,673) -> 55 Time(298,676) -> 2 Time(330,676) -> 41 Time(450,676) -> 58 Time(458,684) -> 29 Time(462,688) -> 12 Time(463,689) -> 25 Time(466,692) -> 48 Time(469,695) -> 57 Time(470,696) -> 8 Time(472,698) -> 11 Time(473,699) -> 68 Time(475,701) -> 78 Time(475,701) -> 64 Time(478,704) -> 71 Time(493,719) -> 3 Time(496,722) -> 69 Time(498,724) -> 45 Time(503,729) -> 70 Time(506,732) -> 30 Time(509,735) -> 14 Time(510,736) -> 9 Time(513,739) -> 33 Time(516,742) -> 24 Time(519,745) -> 13 Time(522,748) -> 72 Time(523,749) -> 49 Time(526,752) -> 36 Time(529,755) -> 66 Time(530,756) -> 20 Time(533,759) -> 65 Time(536,762) -> 63 Time(539,765) -> 34 Time(542,768) -> 6 Time(545,771) -> 37 Time(547,773) -> 4 Time(549,775) -> 18 Time(554,780) -> 19 Time(555,781) -> 50 Time(560,786) -> 39 Time(561,787) -> 27 Time(562,788) -> 61 Time(563,789) -> 43 Time(572,798) -> 51 Time(580,806) -> 60 Time(581,807) -> 54 Time(581,807) -> 17 Time(584,810) -> 53 Time(586,829) -> 56 Time(589,832) -> 38 Time(592,835) -> 5 Time(596,839) -> 73 Time(602,845) -> 47 Time(605,848) -> 31 Time(608,851) -> 22 Time(612,855) -> 46 Time(612,855) -> 76 Time(616,859) -> 16 Time(619,862) -> 10 Time(620,863) -> 28 Time(624,867) -> 77 Time(630,873) -> 23 Time(633,876) -> 80 Time(638,881) -> 74 Time(644,887) -> 75 Time(644,887) -> 62 Time(647,890) -> 26 Time(650,908) -> 21 Time(652,910) -> 44 Time(653,911) -> 15 Time(653,911) -> 79 Time(654,912) -> 59 Time(655,913) -> 52 Time(655,913) -> 7 Time(662,920) -> 0 Time(663,1041)",250,126.54519081115723,n81_instance1.txt,,120
Complete,101,"0 Time(0,0) -> 90 Time(0,0) -> 88 Time(3,3) -> 99 Time(6,6) -> 89 Time(8,8) -> 68 Time(8,8) -> 97 Time(11,11) -> 95 Time(13,13) -> 24 Time(17,17) -> 22 Time(18,18) -> 6 Time(21,21) -> 39 Time(23,23) -> 84 Time(25,25) -> 58 Time(28,28) -> 86 Time(34,34) -> 12 Time(37,37) -> 70 Time(41,41) -> 85 Time(43,43) -> 76 Time(46,46) -> 36 Time(48,48) -> 98 Time(51,51) -> 34 Time(51,51) -> 93 Time(54,54) -> 87 Time(56,56) -> 13 Time(60,60) -> 91 Time(62,62) -> 27 Time(64,64) -> 16 Time(66,66) -> 55 Time(66,66) -> 59 Time(69,69) -> 23 Time(70,70) -> 41 Time(73,73) -> 74 Time(76,76) -> 77 Time(85,85) -> 3 Time(88,88) -> 92 Time(105,105) -> 53 Time(111,111) -> 67 Time(117,117) -> 10 Time(118,118) -> 56 Time(121,121) -> 8 Time(124,124) -> 62 Time(130,130) -> 5 Time(139,139) -> 32 Time(151,151) -> 11 Time(173,173) -> 65 Time(177,177) -> 57 Time(178,178) -> 9 Time(180,180) -> 42 Time(183,183) -> 4 Time(185,185) -> 37 Time(187,187) -> 79 Time(189,189) -> 20 Time(194,194) -> 72 Time(199,199) -> 69 Time(203,203) -> 14 Time(207,207) -> 82 Time(209,209) -> 81 Time(209,209) -> 54 Time(210,210) -> 100 Time(213,213) -> 96 Time(216,216) -> 73 Time(218,218) -> 52 Time(222,222) -> 15 Time(222,222) -> 19 Time(226,226) -> 18 Time(231,231) -> 21 Time(231,231) -> 33 Time(232,232) -> 80 Time(235,235) -> 17 Time(239,239) -> 71 Time(239,239) -> 7 Time(253,253) -> 83 Time(254,254) -> 48 Time(260,260) -> 60 Time(267,267) -> 49 Time(276,276) -> 44 Time(304,304) -> 75 Time(309,309) -> 26 Time(312,312) -> 47 Time(315,315) -> 40 Time(318,318) -> 35 Time(321,321) -> 38 Time(328,328) -> 78 Time(350,350) -> 43 Time(358,358) -> 61 Time(387,387) -> 64 Time(390,390) -> 30 Time(401,401) -> 50 Time(407,407) -> 46 Time(422,422) -> 63 Time(430,430) -> 31 Time(439,439) -> 51 Time(460,460) -> 45 Time(493,493) -> 2 Time(518,518) -> 28 Time(546,546) -> 66 Time(570,570) -> 1 Time(600,600) -> 25 Time(632,632) -> 29 Time(656,656) -> 94 Time(665,665) -> 0 Time(677,677)",677,148.8630771636963,n101_instance1.txt,,0
